url,risk,score,visual,keywords
zonagacor13d.com,high,100.0,"pragmatic:0.67,pool:0.61,pool:0.60,pragmatic:0.55,zeus:0.52,pg:0.48,zeus:0.27","togel,rtp,gacor,withdraw,casino,deposit,slot,bet,live"
wahanadepok.com,high,100.0,"pragmatic:0.48,pool:0.45,pg:0.43,pragmatic:0.42,zeus:0.33,pragmatic:0.32,zeus:0.30,pragmatic:0.27","pragmatic,togel,rtp,gacor,sicbo,baccarat,casino,slot,bet,live"
boxing55ab.store,high,100.0,"mahjong:0.64,mahjong:0.57,zeus:0.47,mahjong:0.40","pragmatic,togel,rtp,olympus,pg soft,zeus,scatter,withdraw,casino,deposit,slot,bet,live"
10.jepe500play.lol,high,100.0,"pragmatic:0.67,mahjong:0.67,zeus:0.29,zeus:0.25","pragmatic,togel,rtp,olympus,gacor,mahjong ways,maxwin,scatter,withdraw,casino,deposit,slot,bet,live"
jpmania25.jpmania-masuk.com,high,100.0,"pool:0.64,pool:0.64,pool:0.63,pool:0.63,pool:0.62,pool:0.61,pool:0.61,pool:0.59,pool:0.59,pool:0.56,pool:0.56,pragmatic:0.54,pool:0.52,zeus:0.47,pool:0.40,pool:0.36,zeus:0.34,pool:0.33,koin:0.31,pg:0.27,pool:0.27","pragmatic,togel,rtp,gacor,pg soft,maxwin,sicbo,withdraw,casino,deposit,slot,live"
tujuh19.kediritotovip.pro,high,100.0,"pool:0.49,koin:0.49,pool:0.46,koin:0.38,pragmatic:0.35,pool:0.33,koin:0.32,koin:0.29,pragmatic:0.29,pragmatic:0.28,pragmatic:0.28,pg:0.26","togel,rtp,sicbo,casino,slot,bet,live"
jrn7aaczvp.vwvip2.pro,high,100.0,"mahjong:0.77,pragmatic:0.77,pragmatic:0.76,casino:0.72,zeus:0.55,mahjong:0.50,mahjong_card:0.43","pragmatic,togel,rtp,olympus,gacor,pg soft,mahjong ways,maxwin,zeus,baccarat,withdraw,casino,deposit,slot,bet,live"
tan001.sultan189b.online,high,100.0,"mahjong:0.77,koin:0.75,mahjong_card:0.69,mahjong_card:0.61,zeus:0.54,pg:0.52,zeus:0.51,koin:0.46,mahjong:0.44,koin:0.40,pg:0.35,mahjong:0.29","pragmatic,togel,rtp,olympus,pg soft,mahjong ways,maxwin,sicbo,scatter,baccarat,withdraw,casino,deposit,slot,bet,live"
vqpibdf580.rudaltotoking.com,high,100.0,"pg:0.54,zeus:0.44,casino:0.42,vulgar:0.33,vulgar:0.29,vulgar:0.28,vulgar:0.28,vulgar:0.27","pragmatic,togel,rtp,olympus,gacor,sicbo,withdraw,casino,deposit,slot,bet,live,pola,judi"
suksesjitu-rtp.xyz,high,100.0,"zeus:0.44,zeus:0.41,pg:0.38,pragmatic:0.26","pragmatic,togel,rtp,pg soft,casino,deposit,slot,live,pola"
