url,risk,score,visual,keywords
zonagacor13d.com,high,100.0,"pragmatic:0.67,pool:0.61,pool:0.60,pragmatic:0.55,zeus:0.52,pg:0.48,zeus:0.27","togel,rtp,gacor,withdraw,casino,deposit,slot,bet,live"
sumo.vslots88fire4.cfd,blocked,0,,
zipzapslotid.com,blocked,0,,
www.66emart.com,blocked,0,,
bradfordsoccer.org,error,0,,
www.136.la,low,11.59,casino:0.50,"slot,bet,dealer"
ys88betonline.com,low,2.88,,bet
yolo4dbit.com,medium,50.0,,"pragmatic,togel,rtp,pg soft,slot,live"
yhriskr118.site,medium,50.0,,"pragmatic,togel,rtp,gacor,scatter,casino,deposit,slot,bet,judi"
www.77111777.pro,high,97.04,"mahjong:0.66,vulgar:0.48,koin:0.43,koin:0.31","pragmatic,olympus,mahjong ways,withdraw,casino,deposit,slot,bet,live,judi"
wsiqqwin4d.space,blocked,0,,
xiutoto401.com,low,0.0,,
jhvip.quest,error,0,,
ji59u4ltl0.wbocashc.sbs,blocked,0,,
yl002.yolanda77a.store,low,0.0,,
www.thegrumpyfish.com,medium,50.0,,"pragmatic,togel,olympus,gacor,pg soft,zeus,scatter,withdraw,casino,deposit,slot,bet,live"
www.supercourt.jp,low,0.0,,
www.steelwheelstrainphotos.com,medium,26.61,,"withdraw,casino,deposit,slot"
wowo33.com,error,0,,
www.permatapuricibubur.com,low,0.0,,"pragmatic,olympus,gacor,mahjong ways,maxwin,scatter,baccarat,casino,deposit,slot,bet,live,pola,judi"
firstplay88cloud.com,low,0.0,,
www.neduet.edu.pk,medium,32.47,"pool:0.41,pool:0.37,pool:0.36,pool:0.36",
www.papuatoday.com,low,0.0,,
winwinraisboy.bet,low,2.88,,bet
jmcoklat.autos,blocked,0,,
www.greencare.com.sg,medium,50.0,,"rtp,baccarat,withdraw,casino,deposit,slot,bet,live,dealer"
070.com,low,0.0,,
joinbostonslot.fit,medium,34.1,"koin:0.62,koin:0.36,koin:0.27,koin:0.25","rtp,casino,slot,live"
jto.co.id,low,0.0,,
www.apistage.mocatest.org,medium,50.0,,"pragmatic,rtp,gacor,pg soft,maxwin,withdraw,deposit,slot,bet,live,judi"
www.androidics.nl,medium,44.41,,"rtp,casino,deposit"
wongsobetbest.site,high,93.72,"mahjong:0.70,zeus:0.33","togel,rtp,olympus,gacor,mahjong ways,maxwin,zeus,scatter,withdraw,casino,deposit,slot,bet,live"
joni82202.com,blocked,0,,
win88bluee.site,low,0.0,,
winners3.rames.shop,blocked,0,,
wahanadepok.com,high,100.0,"pragmatic:0.48,pool:0.45,pg:0.43,pragmatic:0.42,zeus:0.33,pragmatic:0.32,zeus:0.30,pragmatic:0.27","pragmatic,togel,rtp,gacor,sicbo,baccarat,casino,slot,bet,live"
bursa188do.online,blocked,0,,
w9g1.idncash-1.com,low,0.0,,
visitindosat.com,blocked,0,,
boxing55ab.store,high,100.0,"mahjong:0.64,mahjong:0.57,zeus:0.47,mahjong:0.40","pragmatic,togel,rtp,olympus,pg soft,zeus,scatter,withdraw,casino,deposit,slot,bet,live"
adam77amp.pages.dev,medium,50.0,,"pragmatic,rtp,gacor,withdraw,deposit,slot,bet,live,judi"
vattugiaothonghanoi.com,low,9.95,,"casino,bet"
10.jepe500play.lol,high,100.0,"pragmatic:0.67,mahjong:0.67,zeus:0.29,zeus:0.25","pragmatic,togel,rtp,olympus,gacor,mahjong ways,maxwin,scatter,withdraw,casino,deposit,slot,bet,live"
vip-ciputratoto2.online,blocked,0,,
v8etind.online,error,0,,
untargcbos.com,low,0.0,,
jpmania25.jpmania-masuk.com,high,100.0,"pool:0.64,pool:0.64,pool:0.63,pool:0.63,pool:0.62,pool:0.61,pool:0.61,pool:0.59,pool:0.59,pool:0.56,pool:0.56,pragmatic:0.54,pool:0.52,zeus:0.47,pool:0.40,pool:0.36,zeus:0.34,pool:0.33,koin:0.31,pg:0.27,pool:0.27","pragmatic,togel,rtp,gacor,pg soft,maxwin,sicbo,withdraw,casino,deposit,slot,live"
bwo99-januaryprimez.art,high,81.74,"mahjong:0.32,mahjong:0.29,mahjong:0.27","pragmatic,togel,olympus,gacor,pg soft,zeus,scatter,withdraw,casino,deposit,slot,bet,live"
freexrp.in,low,0.0,,
u8vd.oyamurayama.com,blocked,0,,
wasit.linkrupiah.bet,blocked,0,,
tujuh19.kediritotovip.pro,high,100.0,"pool:0.49,koin:0.49,pool:0.46,koin:0.38,pragmatic:0.35,pool:0.33,koin:0.32,koin:0.29,pragmatic:0.29,pragmatic:0.28,pragmatic:0.28,pg:0.26","togel,rtp,sicbo,casino,slot,bet,live"
jrn7aaczvp.vwvip2.pro,high,100.0,"mahjong:0.77,pragmatic:0.77,pragmatic:0.76,casino:0.72,zeus:0.55,mahjong:0.50,mahjong_card:0.43","pragmatic,togel,rtp,olympus,gacor,pg soft,mahjong ways,maxwin,zeus,baccarat,withdraw,casino,deposit,slot,bet,live"
freeseite.com,high,72.51,"pool:0.64,pool:0.64,pool:0.62,pool:0.62,pool:0.62,pool:0.62,pool:0.62,pool:0.61,pragmatic:0.59,pool:0.59,pool:0.57,pool:0.56,pool:0.56,pg:0.53,zeus:0.48,koin:0.38,pool:0.29,vulgar:0.29,vulgar:0.28,zeus:0.27,vulgar:0.25","togel,sicbo,casino,slot"
judolhoki88.4man.live,blocked,0,,
tomatbet-link.site,error,0,,
cabangsemarbijak.store,error,0,,
118.194.234.167,medium,29.87,"koin:0.47,koin:0.45,koin:0.37,koin:0.26",
tiga.idrtoto222.com,blocked,0,,
jaringankencang.xyz,low,0.0,,
tebar4do.online,blocked,0,,
tan001.sultan189b.online,high,100.0,"mahjong:0.77,koin:0.75,mahjong_card:0.69,mahjong_card:0.61,zeus:0.54,pg:0.52,zeus:0.51,koin:0.46,mahjong:0.44,koin:0.40,pg:0.35,mahjong:0.29","pragmatic,togel,rtp,olympus,pg soft,mahjong ways,maxwin,sicbo,scatter,baccarat,withdraw,casino,deposit,slot,bet,live"
fun77surge.com,blocked,0,,
vqpibdf580.rudaltotoking.com,high,100.0,"pg:0.54,zeus:0.44,casino:0.42,vulgar:0.33,vulgar:0.29,vulgar:0.28,vulgar:0.28,vulgar:0.27","pragmatic,togel,rtp,olympus,gacor,sicbo,withdraw,casino,deposit,slot,bet,live,pola,judi"
ca010.lingkaran78.live,low,2.65,,live
tabolabale88a.top,blocked,0,,
vp5l9xarwd.koin33c.lol,blocked,0,,
tag4dmain.pages.dev,low,5.04,vulgar:0.28,
cadas138login.com,low,0.0,,
superwin303milk.com,blocked,0,,
suksesjitu-rtp.xyz,high,100.0,"zeus:0.44,zeus:0.41,pg:0.38,pragmatic:0.26","pragmatic,togel,rtp,pg soft,casino,deposit,slot,live,pola"
str.v1klikhoki.site,high,100.0,"mahjong:0.72,zeus:0.36,zeus:0.29","pragmatic,togel,rtp,olympus,gacor,pg soft,mahjong ways,maxwin,zeus,scatter,withdraw,casino,deposit,slot,live,judi"
adik4d.makeup,high,78.68,"pragmatic:0.72,pg:0.63,pool:0.63,pool:0.59,pragmatic:0.28","togel,withdraw,casino,deposit,slot,bet,live"
viralselir188.boats,blocked,0,,
spam4donterus.space,low,0.0,,
sorotansimba.com,blocked,0,,
slotpoker188po.org,low,0.0,,
slotasiabetgg.site,blocked,0,,
visabet88play.com,blocked,0,,
setan4d3.net,blocked,0,,
kapallauut.space,blocked,0,,
viamotutti.com,high,80.69,"pool:0.41,pool:0.40,pool:0.31,pool:0.29","togel,rtp,gacor,slot,live,pola"
vivobet77.net,blocked,0,,
sayapbolaboss.site,low,23.49,,"withdraw,casino,slot,live,judi"
vforvolleyball.com,low,0.0,,
165.245.187.21,high,74.06,"vulgar:0.62,koin:0.35,koin:0.32","pragmatic,rtp,pg soft,baccarat,slot,bet"
vegaswin.net,error,0,,
169cuango.site,low,0.0,,
saranaxingfu.com,blocked,0,,
sastotojim.site,error,0,,
178.128.86.89,medium,33.55,pg:0.44,live
jambisupra.site,low,14.88,,"rtp,casino,deposit,slot,bet,live,judi"
rumput4d.net,error,0,,
rtpzeus138langit.com,error,0,,
rtpslotgeng215.com,blocked,0,,
uv.mohs.gov.mn,low,18.0,pool:0.50,"slot,bet"
rtpnewsitevega168.online,medium,31.05,,rtp
rtposaka88n.site,error,0,,
rtpmangkokcun.mom,medium,31.05,,rtp
1kgyfjhwpd793hei2lq5.myjpcash.com,low,2.88,,bet
vespa69.weebly.com,blocked,0,,
uqfwzmay86.alamperkasa.sbs,high,100.0,"pragmatic:0.62,mahjong:0.55,mahjong:0.54,mahjong:0.47,koin:0.45,koin:0.32","togel,rtp,olympus,mahjong ways,zeus,scatter,baccarat,withdraw,casino,deposit,slot,bet,live,judi"
upinaman.com,high,62.04,"vulgar:0.51,pool:0.50,pool:0.44,pool:0.44,pool:0.43,pool:0.39,pool:0.38,pool:0.36,pool:0.33,pool:0.28,pool:0.27","togel,rtp,sicbo,slot,bet,live"
keragroup-2bv.store,high,69.07,pragmatic:0.26,"pragmatic,rtp,gacor,pg soft,slot,live,pola,judi"
untung99rtp2.click,blocked,0,,
bambu4d.onl,error,0,,
ketogel2win.com,medium,36.52,,togel
kgoc96jir4jebln4axyh.jpsonicfix.site,error,0,,
rtp.bunga189a.site,blocked,0,,
unibeet99.com,blocked,0,,
g76totohebat.store,blocked,0,,
romanobet-on.pages.dev,blocked,0,,
rprprpslot.org,blocked,0,,
robot-fan.net,low,2.88,,bet
kingtoto-nich.pages.dev,blocked,0,,
rjtweb2.store,high,100.0,"pg:0.45,zeus:0.32,zeus:0.29","pragmatic,togel,rtp,olympus,withdraw,casino,deposit,slot,bet,live"
kiwifarms.bet,low,2.88,,bet
ultimaslot-amp6.pages.dev,blocked,0,,
ultimatekerbau.online,high,100.0,"mahjong:0.85,mahjong:0.82,pragmatic:0.71,mahjong_card:0.70,koin:0.52,zeus:0.47,mahjong:0.41,mahjong_card:0.39","pragmatic,togel,rtp,gacor,mahjong ways,scatter,withdraw,casino,deposit,slot,bet,live"
bale.rempahdunia.xyz,high,93.56,"pool:0.52,pool:0.46,pool:0.42,pool:0.35,pool:0.26","pragmatic,togel,rtp,gacor,sicbo,casino,deposit,slot,bet,live,judi"
ug128asia.com,blocked,0,,
qq398.net,error,0,,
rafi66slot.org,blocked,0,,
ccrjn12569.lintas7.pro,medium,50.0,,"pragmatic,togel,rtp,olympus,gacor,mahjong ways,maxwin,sicbo,scatter,baccarat,withdraw,casino,deposit,slot,bet,live"
two.madetotoutama.com,medium,47.05,,"pragmatic,slot,live"
j6lp.rumahracun.com,high,90.84,"pool:0.53,vulgar:0.30,pg:0.30,mahjong_card:0.27","togel,rtp,gacor,sicbo,withdraw,casino,deposit,slot,bet,live"
prediksijitucato.com,high,86.06,"pool:0.64,pool:0.54,pool:0.49","pragmatic,togel,rtp,olympus,gacor,mahjong ways,maxwin,zeus,withdraw,casino,deposit,slot,bet,live,rungkad,judi"
24jan.mainmeongtoto.cyou,low,0.0,,
