domain,status,final_url
rtpliga123login5.com,BLOKIR,
rtponlinegila138.komunitasku.sbs,BLOKIR,https://internet-positif.info
zonagacor13d.com,AKTIF,https://zonagacorsai.com/
akses-mpokita.online,BLOKIR,https://internet-positif.info
sumo.vslots88fire4.cfd,AKTIF,https://sumo.vslots88fire4.cfd/
figurlivertp.xyz,BLOKIR,
filter303libas.com,BLOKIR,
zientoto9032.com,BLOKIR,
www.abc8a99.com,BLOKIR,
zipzapslotid.com,AKTIF,https://zipzapslot.it.com
www.affiliatempomega.com,BLOKIR,https://internet-positif.info
zeusl9zusv.jatengtoto.one,BLOKIR,
www.66emart.com,AKTIF,https://www.66emart.com/
zero77a.com,BLOKIR,https://internet-positif.info
fortuner77slot.org,BLOKIR,
z0yg1et1hw.kaosjingga.com,BLOKIR,
jeparatotosama.com,MATI,
jepegede.gulalitoto.space,BLOKIR,
z25kp9cnf3.kaosjingga.com,BLOKIR,
bradfordsoccer.org,AKTIF,https://bradfordsoccer.org/
fojqctoe9j.bmwvip2.pro,BLOKIR,https://internet-positif.info
bri62-win.space,BLOKIR,
www.136.la,AKTIF,https://www.136.la/
ys88betonline.com,AKTIF,https://ys88betonline.com/
yudha.togelup662.life,BLOKIR,
yolo4dbit.com,AKTIF,https://yolo4dbit.com/
younhee.xyz,BLOKIR,
ythextra-id.com,BLOKIR,https://internet-positif.info
yuhuslotvip.xyz,BLOKIR,https://internet-positif.info
yhriskr118.site,AKTIF,https://yhriskr118.site/
www.77111777.pro,AKTIF,https://www.77111777.pro/
y54jm.axis168.site,MATI,
jeweldompet.com,BLOKIR,
wss.bet735.bet,MATI,https://wss.bet735.bet/
yayapulaukoin.com,BLOKIR,
jh2qat4fiu0ky7yz51n6.jpsonicfix.site,BLOKIR,
brovegasoke.com,BLOKIR,https://internet-positif.info
jetkilat.com,BLOKIR,
y485axuy4wvfvujj7ajb.jpsonicfix.site,BLOKIR,https://internet-positif.info
wsiqqwin4d.space,AKTIF,https://wsiqqwin4d.space/
bskyu37557.matador168portalmasuk.com,BLOKIR,
xxtotoofficial.click,BLOKIR,https://internet-positif.info
xuxutesti.space,BLOKIR,
xz2r.domino4dfav.com,BLOKIR,
wpjook5bpn.vwvip2.pro,BLOKIR,https://internet-positif.info
xiutoto401.com,AKTIF,https://www.xiutotobet.com/
jepe.bibit4d.ink,BLOKIR,https://internet-positif.info
jhvip.quest,AKTIF,https://jhvip.quest/
ji59u4ltl0.wbocashc.sbs,AKTIF,https://ji59u4ltl0.wbocashc.sbs/
jer.yoweswd.xyz,MATI,
jin4dbagibagi.com,BLOKIR,https://internet-positif.info
x7mykeu2rqyt1b5f11p0.jpsonicfix.site,MATI,
www.visitlonggrove.com,BLOKIR,https://internet-positif.info
wowsuburtoto.com,BLOKIR,
bt5apkvip.xyz,BLOKIR,
x1jq.bandungtotofire.site,MATI,
马秋元.ink,BLOKIR,
xtsz.bantenhero.cloud,BLOKIR,
wonplay888web.net,BLOKIR,
yakin-cuan.online,BLOKIR,https://internet-positif.info
yl002.yolanda77a.store,AKTIF,https://oy001.yolanda77b.online/
00vwwtiend6c7yvot8fs.bungaslot.dev,BLOKIR,
www.thangliendoan.com,BLOKIR,
wonder4dget.com,BLOKIR,
www.thegrumpyfish.com,AKTIF,https://www.thegrumpyfish.com/
wong138x.org,MATI,
www.supercourt.jp,AKTIF,https://www.supercourt.jp/
www.timbreorbite.com,BLOKIR,
www.spookcityusa.com,BLOKIR,
www.steelwheelstrainphotos.com,AKTIF,https://www.steelwheelstrainphotos.com/
bugisbrand.com,BLOKIR,https://internet-positif.info
jiwashop09.com,BLOKIR,
www.sorotanugerahtoto.net,BLOKIR,
www.situs025.com,BLOKIR,
wowo33.com,AKTIF,https://wowo33.com/
www.rtpvegas123asli2.com,BLOKIR,https://internet-positif.info
wso138regis.com,BLOKIR,
www.royaleboss914.com,BLOKIR,
www.rubensmeatmarkets.com,BLOKIR,
www.permatapuricibubur.com,AKTIF,https://www.permatapuricibubur.com/
www.qpbet20.cc,BLOKIR,
firstplay88cloud.com,AKTIF,https://firstplay88cloud.com/
www.rejekigames007.xyz,BLOKIR,
wkwk777work.com,BLOKIR,
www.sanghokiplay.sbs,BLOKIR,
jelasjpyb.linkamp88.online,BLOKIR,
wkj80ce0kjs9683ljibb.bungaslot.dev,BLOKIR,
www.ontechnos.com,BLOKIR,
wkwkslotmanis.top,BLOKIR,https://internet-positif.info
www.needwin.xyz,BLOKIR,
www.neduet.edu.pk,AKTIF,https://www.neduet.edu.pk/
jiwaku88boster.space,MATI,
jiwa62vip.biz,MATI,
www.nulifegastrocare.com,MATI,
www.olahragasbotop.com,BLOKIR,
www.papuatoday.com,AKTIF,https://www.papuatoday.com/
www.mata11.com,BLOKIR,https://internet-positif.info
www.maha168crown.com,BLOKIR,
winwin406.bet,MATI,
www.meganusantaraevents.com,BLOKIR,https://internet-positif.info
winwinraisboy.bet,AKTIF,https://winwinraisboy.bet/
www.krongprae.com,BLOKIR,
wiraspin88gh.vip,BLOKIR,https://internet-positif.info
www.kisarantotomanjur.com,BLOKIR,
k8.yachts,MATI,
fjfqgs.com,BLOKIR,
www.lambo234.casa,BLOKIR,https://internet-positif.info
wisdom77.weebly.com,BLOKIR,
www.kasinojpmacau.xyz,BLOKIR,
www.korekapibersorak.com,BLOKIR,
jmcoklat.autos,AKTIF,https://jmcoklat.autos/
jkco.cancerthsspeermade.com,MATI,
www.indoplaybet.wiki,BLOKIR,
www.kapaljitu.xyz,BLOKIR,https://internet-positif.info
www.isi-apk13.xyz,BLOKIR,
jogjatotodisini.com,BLOKIR,https://internet-positif.info
jnt777lima.xyz,BLOKIR,
0hzzhqp4y339il90zy0z.myjpcash.com,BLOKIR,
www.juara288.biz,BLOKIR,
www.greencare.com.sg,AKTIF,https://www.greencare.com.sg/
winslot138.net,BLOKIR,
www.gbo4d11.lat,BLOKIR,
winsemua.icu,BLOKIR,
www.escortlarmanavgat.com,BLOKIR,https://internet-positif.info
jnt77loginalternatif.com,BLOKIR,https://internet-positif.info
winrate777f.pics,BLOKIR,https://internet-positif.info
www.gbo007j.online,BLOKIR,https://internet-positif.info
fitri4d6.baby,BLOKIR,https://internet-positif.info
070.com,AKTIF,https://070.com/
jogjayes4d.xyz,BLOKIR,
joinbostonslot.fit,AKTIF,https://joinbostonslot.fit/
jto.co.id,AKTIF,https://jto.co.id/
joinwib61.org,BLOKIR,https://internet-positif.info
buktiada.online,BLOKIR,https://internet-positif.info
jb9auq0ejl.top1toto199.com,BLOKIR,
jowoampgarudamu.click,BLOKIR,
www.ciakholiaubento.com,MATI,
www.bandit4d.org,BLOKIR,
www.apistage.mocatest.org,AKTIF,https://www.apistage.mocatest.org/
www.androidics.nl,AKTIF,https://www.androidics.nl/
www.bitbolaplay.com,BLOKIR,
buktijackpotmio.com,BLOKIR,
wink4d.org,MATI,
www.agen198mantap.com,BLOKIR,
www.777ids.com,MATI,
jojo899sip.site,BLOKIR,
www.6879onfire.com,BLOKIR,
www.66kbet222o.cc,BLOKIR,https://internet-positif.info
win2-2mtoto.baby,BLOKIR,https://internet-positif.info
ww1.pojokmanga.net,BLOKIR,https://internet-positif.info
win138z2.com,BLOKIR,
buktimenangmonpera.xyz,BLOKIR,https://internet-positif.info
win300.net,BLOKIR,https://internet-positif.info
wongsobetbest.site,AKTIF,https://wongsobetbest.site/
win33pola-vip.icu,BLOKIR,https://internet-positif.info
wrg-tukangwd.space,BLOKIR,
joni82202.com,AKTIF,https://joni82202.com/
bbm4dbeer.com,BLOKIR,
bb010.barbar365.online,MATI,
buktijepe-zeus138.biz,BLOKIR,https://internet-positif.info
wiro4d.space,BLOKIR,https://internet-positif.info
win.w4dgg.xyz,BLOKIR,
wg4dcoy.com,BLOKIR,https://internet-positif.info
jorototo1.org,BLOKIR,
wew.jetwin77xx.com,BLOKIR,
wifi138vip8.com,BLOKIR,
webpker188.org,BLOKIR,
jowoampdora.click,BLOKIR,
wild.virtus77.space,BLOKIR,
wedang77.cc,BLOKIR,
wiltotocuan88.com,BLOKIR,
wawasankini.com,BLOKIR,
fix-pan.sbs,MATI,
watitotouin-malang.pages.dev,BLOKIR,https://internet-positif.info
win88bluee.site,AKTIF,https://win88bluee.site/
wap.jaxpublications.com,MATI,
jowosltelang.com,BLOKIR,https://internet-positif.info
winners3.rames.shop,AKTIF,https://winners3.rames.shop/
c01x.iramatogelthis.com,BLOKIR,
www.fair77.ad,BLOKIR,
0cjye4ksgx.kopivip2.pro,BLOKIR,https://internet-positif.info
forgzlptxx.koin33c.lol,BLOKIR,
warungsloten.com,BLOKIR,
jowoampkomandan.click,BLOKIR,
wlatog-el.com,BLOKIR,
joyslot-88.lat,BLOKIR,
bympo189.store,BLOKIR,
wak5000gold.com,BLOKIR,https://internet-positif.info
bcall-th.bcgame.bet,MATI,https://bcall-th.bcgame.bet/dispatch-v6/
wh5vqhx5mfow66clnxr7.bungaslot.dev,BLOKIR,https://internet-positif.info
wahanadepok.com,AKTIF,https://wahanadepok.com/
bebjackpot.xyz,BLOKIR,https://internet-positif.info
wettanbieterohnelugas.net,BLOKIR,https://internet-positif.info
w0wslot1688.bet,MATI,
jp268suk4.autos,BLOKIR,
welcomesm188.top,BLOKIR,https://internet-positif.info
bursa188do.online,AKTIF,https://bursa188do.online/
wengtoto21.org,MATI,
vrjtn8176s.top1toto199.com,BLOKIR,
wfy0mw7yqvf8x5b44fh4.bungaslot.dev,BLOKIR,
w9g1.idncash-1.com,AKTIF,https://w9g1.idncash-1.com/
wg3xwkmuyf.asd123vip2.pro,BLOKIR,
viral.alternatif-herototo.shop,BLOKIR,https://internet-positif.info
vipbet88majestic.com,BLOKIR,
jazztoto.net,BLOKIR,
virexadaun.com,BLOKIR,
visitindosat.com,AKTIF,https://visitindosat.com/
fomopandahoky.shop,BLOKIR,
vip3.togel900-x.com,BLOKIR,
websni.info,BLOKIR,
bungaberduri.xyz,BLOKIR,
webhopeng33.com,BLOKIR,https://internet-positif.info
vip-rajaakurat14.shop,BLOKIR,
jaun88bro.com,BLOKIR,https://internet-positif.info
website.aqua88x.com,BLOKIR,
boxing55ab.store,AKTIF,https://boxing55ab.store/
fomopandahoky.space,MATI,
victory78.net,BLOKIR,
ad1.mawar800-23.site,BLOKIR,
vgslot-88.xyz,BLOKIR,https://internet-positif.info
franktonfirstumc.org,BLOKIR,
vengsuiptr.xyz,BLOKIR,https://internet-positif.info
vegas338gcr.site,BLOKIR,
vava4dbantul.com,BLOKIR,
forza88game.xyz,BLOKIR,https://internet-positif.info
v9.paktuaslotbest.de,BLOKIR,https://internet-positif.info
adam77amp.pages.dev,AKTIF,https://adam77amp.pages.dev/
vattugiaothonghanoi.com,AKTIF,https://vattugiaothonghanoi.com/
vemm.jabarsukses.cloud,BLOKIR,https://internet-positif.info
10.jepe500play.lol,AKTIF,https://10.jepe500play.lol/
vip-ciputratoto2.online,AKTIF,https://vip-ciputratoto2.online/
wdbos88bets.com,BLOKIR,https://internet-positif.info
v8etind.online,AKTIF,https://v8etind.online/
boytotoeight.online,BLOKIR,
