url,prediksi_sistem,skor_final,label_manual
9audy88.com,,,1
barongbetplays.com,,,1
dewan4dinc.com,,,1
n94ywwycn7.rtp-lohanslot.com,,,1
ownitgucci.com,,,1
kudahoki-q9us.kudahoki.online,,,1
pejuangslotcrm.com,,,1
premier333aek.com,,,1
promokikototo.org,,,1
0m1wjbwjlh.slotmantapviral.com,,,1
nemospin78.store,,,1
inova138bjb.com,,,1
www.gamespoolspic.vip,,,1
pik4mantapp.com,,,1
huntertotoalter.online,,,1
grafikjituhugme.site,,,1
super88site.space,,,1
bktt-fav.site,,,1
gemoy88gas.monster,,,1
akseswin805.click,,,1
1rolet303.art,,,1
barbari.seni108maxwin.com,,,1
www.rusticfarmlife.com,,,1
82lwit76wp80ao7bzzoi.vdkgatheringpoint.social,,,1
q9db0zfseko306oz237x.araitoto-x.com,,,1
salam88kung.site,,,1
negrislot.store,,,1
3vfa5w8mr8.dota88e.life,,,1
panadolqqjp99.xyz,,,1
info.rtpoishibet.com,,,1
cafe4dv2.space,,,1
bulantogel3.rest,,,1
maxwinrtp.officejutawan.com,,,1
tokzmp7m4x.top1toto199.com,,,1
agenbos228.beauty,,,1
kangmasrindu.site,,,1
grandpulsa7.com,,,1
togelnusatotomaxwin.site,,,1
pq9o61ii477woxkizbjr.jpmariofixx.site,,,1
bdhoki88limit.live,,,1
kdkey2r6ed.vwvip2.pro,,,1
umr-dewa.online,,,1
prabartanablog.pages.dev,,,1
www.kemonbet22.com,,,1
bbtn4dwinplay.com,,,1
ratupadepokan.xyz,,,1
www.staradio1073fm.com,,,1
30msislot.info,,,1
slot88blue.com,,,1
www.rockfest-game.com,,,1
lotus2mas.vip,,,1
5feb.2simenang.com,,,1
tuantogelultra.com,,,1
ppsnusanew.com,,,1
becekwinhits.com,,,1
rtppepsimaniez.com,,,1
duniabet303ai.life,,,1
jpnation17.xyz,,,1
geosriwijaya.com,,,1
mpo8821bekasi.info,,,1
appsatrialigartp.com,,,1
tattumedia.com,,,1
giant.genevafoxes.org,,,1
wap.appunikbet.com,,,1
gojek77.ws,,,1
rtp13.polaavatar808.live,,,1
k6zznn1xd8mbnhd96reg.araitoto-x.com,,,1
tytfortunerid.com,,,1
yyqf7qvklk.senju33h.top,,,1
hwg500.net,,,1
a.justd.net,,,1
amppapilo99.net,,,1
www.audi8.bet,,,1
32c7j15fcqwynfj23mut.jpmariofixx.site,,,1
sibukwinbaik.com,,,1
emastotojitu.com,,,1
novasobatvip.mom,,,1
indratogel32461.com,,,1
llgt36dscwnnsoiswda6.myjpcash.com,,,1
geng34037.com,,,1
rtpbiru138cuan.blog,,,1
burhanbos89.xyz,,,1
super88original.org,,,1
biru777citra.club,,,1
xn-foroporlaniez.pages.dev,,,1
g1.gurame.fun,,,1
kangtotowis.com,,,1
pasti12.niastoto4d.xyz,,,1
jamuwin78.yachts,,,1
bolawinsbsd.com,,,1
kurniatotomantap.com,,,1
komengtotobet.com,,,1
www.alexabet88u.net,,,1
hargabiru.com,,,1
jamintotowin13.com,,,1
ketuabemo05.site,,,1
situsgestunbet2026.pages.dev,,,1
lions88newregister.store,,,1
kudahoki11.site,,,1
lmccsn88.blog,,,1
17des.rusia777.sbs,,,1
m.tst4d.com,,,1
voliaku.biz,,,1
morph365.asia,,,1
xiutoto401.com,,,1
www.sba.co.ug,,,1
netjawawin.com,,,1
unagitop2.com,,,1
rtpptjpkali.pages.dev,,,1
lvonlinejakarta.lol,,,1
gamabet88mc.com,,,1
kudetabet98lecijackpot.com,,,1
3gyzvbauxg.caritvtogel.vip,,,1
peso138info.com,,,1
akun77toss.homes,,,1
holongan.jmslt.com,,,1
rtpcun-gb88.bond,,,1
fp15nb3twoi0lmxo13h6.bungaslot.dev,,,1
spotbeth.app,,,1
cong22.com,,,1
neon4dvip.com,,,1
vir9awenax.jmtoto.vip,,,1
bocilslt.com,,,1
agenmasion.xyz,,,1
p5jaco65e8.nusantaravip2.pro,,,1
aktortogel-baht.com,,,1
al28oz1c47.jumbo189.com,,,1
gm3.gmtt88-1.live,,,1
18hokiuntung.pages.dev,,,1
abangzeus007.live,,,1
idncash-domba.com,,,1
vip3.togel900-x.com,,,1
kisahpihak.com,,,1
y1rsd48ixhs3uv4itg3q.gayatoto268.site,,,1
webkecil.iridengki.com,,,1
qaidi804vip2.bet,,,1
lnl4e158qo.top1toto199.com,,,1
qdal88wol.mom,,,1
w9.winterfresh.ink,,,1
pg25.14kelinci777.xyz,,,1
spznwbcqlx.ttcebu.icu,,,1
h2totocepat.com,,,1
ular-jawa.space,,,1
slotbom77lga.top,,,1
rtpslotyok215.com,,,1
mufasatotobenua.com,,,1
bn88live.top,,,1
1hal777login.com,,,1
megatoto5dpaten.com,,,1
nwxl0wl50s.vwvip2.pro,,,1
bebasjitu08.com,,,1
besarwinakutansi.com,,,1
supraslot88rtp.com,,,1
raden4dfkt.com,,,1
linkrtp13-panglimajp.pages.dev,,,1
xiutoto042.com,,,1
kekar4dalter.com,,,1
satuanugerah.semarhokisaya.com,,,1
marettoto84.com,,,1
akadlancar.online,,,1
178.128.82.117,,,1
wika123-ya.site,,,1
ninjawild.com,,,1
livegamehok1.site,,,1
rtpipo138l.com,,,1
52xyjrfqck.gt108vip3.com,,,1
rtpabadicash51.pages.dev,,,1
area13.zendo100top.com,,,1
bejo88lotar.xyz,,,1
linkktudunia.store,,,1
l6g9ugckgglej88k29qx.bungaslot.dev,,,1
inijawara.xyz,,,1
ultislot88cuan.shop,,,1
www.mabecan.es,,,1
www.hermestotoalternativ.com,,,1
cimol88ss.live,,,1
mawartotodewa.com,,,1
maktoto1.ramalanku.live,,,1
bosgambir169.com,,,1
ms002.demon189.live,,,1
hotspin69discover.com,,,1
pagoda88-tower.com,,,1
top805vip.vip,,,1
g49uad98ss.markas338dikawal.com,,,1
slot.rtp-rajapanen.click,,,1
rajawisnu.info,,,1
tidakadalawan.org,,,1
amp-epsi99slot.pages.dev,,,1
xlo5g01ye8eodng3ajvp.ratuselot.site,,,1
rutanpedia.com,,,1
live-rtpf200m.autos,,,1
iq3ly0gpxx.slotbesarvip2.pro,,,1
hebohwin99.uk,,,1
5gtotojaya.site,,,1
hnd138jos.store,,,1
winbet299glory.online,,,1
roulette-overzicht.com,,,1
luna34617.com,,,1
pro33738.com,,,1
www.apistage.mocatest.org,,,1
sbctotomiya.com,,,1
bbtotoalter.xyz,,,1
bolacuan1.net,,,1
bolang100.com,,,1
xb7mct.oyamurayama.com,,,1
k6og.jokoo4d.net,,,1
redandwhite.space,,,1
b8.morfintotopride.online,,,1
rtpbuncistoto-2.site,,,1
telukbisa.com,,,1
myg4djepe.xyz,,,1
harwy40537.gonaga.us,,,1
maco4d8.online,,,1
t21jepe.online,,,1
martv4d.xyz,,,1
bendera62via.cyou,,,1
zeusl9zusv.jatengtoto.one,,,1
d4naliga.click,,,1
monobakery.site,,,1
29empireterbaru.com,,,1
calocanda.com,,,1
hqvxq14140.maniaslt.com,,,1
159.223.42.12,,,1
3maribbwin777.info,,,1
za008.yakuza77a.online,,,1
maskermerah.com,,,1
slot.obraltoto.vip,,,1
linkpasangjitu-official.com,,,1
rtp-rajacukongzzz.pucukdingin.org,,,1
piwpiwbum.pages.dev,,,1
yudha.togelup662.life,,,1
hdtoto1alter.xyz,,,1
firstplay88qiuqiu.com,,,1
xkm6gn4gj5.kaskuskita.com,,,1
bilan17.logamazli.one,,,1
rtpmw138.vip,,,1
indosbobet88win.shop,,,1
menyalabangku.org,,,1
tabungutama.net,,,1
login.kantongkosong.com,,,1
gajahstore09.com,,,1
m188link2.xyz,,,1
skuvjqhrfw.ligazoom.work,,,1
dewata4d-32.xyz,,,1
gacoan88asli.xyz,,,1
rtpslotyowes215.com,,,1
u4rnu0w5yay2837t07j8.bungaslot.dev,,,1
suhu-esse.lat,,,1
regisidagentshop138.club,,,1
counterwin88none.com,,,1
www.tampanbintang4dp.com,,,1
bosvip777.world,,,1
gilabanget.pro,,,1
acggcrfb.org,,,1
masuk1.site-jaya66.online,,,1
winwincuan.com,,,1
rekomendasi2026.com,,,1
tahta1.tahta2026.net,,,1
fantasitoto2.xyz,,,1
cawan78app.site,,,1
rtpcuan-kingzeus.cyou,,,1
i-ai.apkjspaten.com,,,1
pik88-paco.pages.dev,,,1
livesosmedtoto.club,,,1
k1jy065bqz.rudaltotoking.com,,,1
speed1.rtpserver-ceriabet.live,,,1
pentolbetcan.com,,,1
rtpnet33sick.pages.dev,,,1
klub4dpion.com,,,1
ultra0802.jalurmudah.xyz,,,1
baduimen.info,,,1
bomjp149.motorcycles,,,1
sengprediksi7.site,,,1
lwjxy40839.dewacashdana.one,,,1
www.bier-one.com,,,1
wakanda33cheap.net,,,1
ip.bt-pro.click,,,1
zhoe.ngawimasukkedua.com,,,1
login2.vip138ab.com,,,1
cashgame88bet.com,,,1
1329ll.bet,,,1
13.royal707.me,,,1
apk.wadukforever.rest,,,1
inifun88mall.com,,,1
zy9hq7j9py.nusantaravip2.pro,,,1
6pexynu8ow5rx7dheivu.linkbd88.store,,,1
ggplay-gram.xyz,,,1
waslotone.top,,,1
da003.garasi189.site,,,1
sl1ivfk1icj6j8xit2nl.myjpcash.com,,,1
apk2raja01.shop,,,1
masuk-top138.site,,,1
60m44mdmnn.vwvip2.pro,,,1
visi4dsan.click,,,1
j7ry4dngj6.top1toto199.com,,,1
dana999batik.com,,,1
plazaraya.site,,,1
ongpg01.com,,,1
group788-1a.store,,,1
3uxzv1jndn.gt108vip3.com,,,1
kodomo99baru.com,,,1
beritahujan.com,,,1
slotyokaislotdra.xyz,,,1
destotopaling.com,,,1
inibet.in.net,,,1
beton88-amarflourmills.pages.dev,,,1
07jugyfvrlfal1pfphv2.sakutoto990.com,,,1
unikgunung.com,,,1
01kitaslot777.makeup,,,1
yumetoto99.com,,,1
šltñ77.com,,,1
amoisuper.com,,,1
oyen14.web.id,,,1
61vl.oyamurayama.com,,,1
shop.terrafreshhome.com,,,1
hrvslotmenang.com,,,1
bola222machinewin.com,,,1
megajp17.rtp2025jp.com,,,1
mem.pinarena.online,,,1
ingatbebek31.xyz,,,1
nero4dwin.com,,,1
kasir4dhot.com,,,1
animemantap08.com,,,1
koiceko.com,,,1
pastipaten-oceanslot88.xyz,,,1
www.raja138bom.com,,,1
aa8dpk58415.captogel.cyou,,,1
link1.mio69-best.store,,,1
kja2jv5n2fzh4sfpz23g.bungaslot.dev,,,1
spekta777ok.net,,,1
betblocker.org,,,1
mutubet88loyal.com,,,1
kopral404.com,,,1
tko77steed.com,,,1
sgptotocity1.com,,,1
molektoto2026.com,,,1
resortgrow.site,,,1
indoslot303z.club,,,1
x92vip2.bet,,,1
phxcgn7tjo.kaskuskita.com,,,1
bzhcq45183.klikfifabet.in,,,1
mio69-ofc.xyz,,,1
takurnewyear.site,,,1
henslotwd.xyz,,,1
bandar89home.xyz,,,1
i3kit4lgg5aoqdroz0ez.bungaslot.dev,,,1
lryt063d61.nusantaravip2.pro,,,1
wakcepek.site,,,1
geloragamingcun.com,,,1
dogelexusmvp.quest,,,1
lilinterns.com,,,1
ripsipglowin88.com,,,1
gipb74zm0bgmjt2o6ph7.vdkgatheringpoint.social,,,1
juruspass.com,,,1
pamanganteng.xyz,,,1
tvsouth.com,,,1
4.bonushptoto.info,,,1
martabak188a.asia,,,1
americanpicks.com,,,1
koreo138pedas.com,,,1
aksesmulia77.rest,,,1
petir138-amp168.sbs,,,1
www.sloto89dada.com,,,1
zenithfordv4.store,,,1
link9.ldbplayalt35.com,,,1
buiyq48880.gobogil.one,,,1
vip25.sigacor88.ink,,,1
aslamfabrics.com.pk,,,1
sultanplay.fit,,,1
1329w.bet,,,1
ms31.wede777vip.com,,,1
kipas899ok.life,,,1
havana88-2.com,,,1
supertotorezeki.top,,,1
cagurbetkyu.help,,,1
tiga11.hitocuan.com,,,1
akiratoto5.online,,,1
tarunggas.work,,,1
www.sm333.net,,,1
sex2hjg7uz.jaya4dxin.xyz,,,1
polonia123-vip.site,,,1
tmbetreward88.com,,,1
www.nos138af.online,,,1
bundaaslot.store,,,1
takis98slt.store,,,1
jon4dnikmat.com,,,1
nu3pu3j7qftqvxpq9fu0.jpmariofixx.site,,,1
bintang108year.com,,,1
sarana77.org,,,1
s4jexj6cyc.rudaltotoking.com,,,1
nekobet99.shop,,,1
0inuf4h5n5.kaskuskita.com,,,1
ku007.key365a.live,,,1
bangkok-ampdev.pages.dev,,,1
gudang4dplay.motorcycles,,,1
lisatoto-bd.com,,,1
hyju9dzuva.cariepictoto.pro,,,1
sloki88bmw.com,,,1
megaslot97.work,,,1
l9d1tt6vdu.vwvip2.pro,,,1
leon188bersulang.co,,,1
indo4d-k.com,,,1
bursa188re.com,,,1
paulang.com,,,1
beldlanka.com,,,1
pilarplay49.shop,,,1
rtp3.notif4darena.org,,,1
01pacificwildseafood.pages.dev,,,1
lido88next.com,,,1
indo62bangga.com,,,1
abc-cgi.com,,,1
kangtotowis.org,,,1
151.101.131.52,,,1
hidupgagak.store,,,1
rice838-d.cfd,,,1
pialadunia.dev,,,1
ads11raja01.shop,,,1
a1.winterfresh.ink,,,1
app-liv.jp,,,1
u1q3qrlp5ye1n04431bq.bungaslot.dev,,,1
rusia3.xyz,,,1
macautw.xyz,,,1
unovgsreals.space,,,1
142peritt.com,,,1
pgking11.vip,,,1
glendona.com,,,1
restupokerhot.com,,,1
tigoals.github.io,,,1
shop.mondena.com,,,1
liontoto1.store,,,1
jumbototo982.com,,,1
abangda88.us.com,,,1
lihat14.meriahkali.one,,,1
pro8etiojk.lat,,,1
ayam4dhoki168.com,,,1
riangterang.xyz,,,1
rtppilarplay24.shop,,,1
zjqoolipaf.bosbro.website,,,1
techno.dolly4dofficial.com,,,1
live-hockey.ru,,,1
hyjkumrqv7.slotbesarvip2.pro,,,1
gg2.rtpapidewa.lol,,,1
kp06nygo7f.jaya4dxin.xyz,,,1
asiaslot777official.beauty,,,1
z66ntjdxbg4p4ku6u7so.ibox4docean.net,,,1
tancap4digit.bond,,,1
fuyuramenco.com,,,1
6i9.notaups4d.site,,,1
12hoki.forum,,,1
tb88duit.top,,,1
alt2.alamat.vip,,,1
kokoplayv5.pages.dev,,,1
18ex0qrsck.prada55c.one,,,1
vv0802.kantorbolajaya.org,,,1
kpk100stars.site,,,1
ituu.bt-pro.click,,,1
zfn3vsbbua.asgacor.pro,,,1
hel4oilwyp.top1toto199.com,,,1
laskar89-site.bond,,,1
idxstartime.top,,,1
clinic-gallery.pages.dev,,,1
4lr86165sbskyxgqbh1y.bungaslot.dev,,,1
kemenangan-dewi11.pages.dev,,,1
arizona88.suhujepe12.site,,,1
abcd.kkp69.info,,,1
vikingbet-88.store,,,1
kenangan4dtinggi.com,,,1
6fwekg4fbsqkfb81qx89.bungaslot.dev,,,1
moi4dindah.com,,,1
agung711uang.com,,,1
111333.bet,,,1
0r4ncbr2g0poeh3yvwn7.bungaslot.dev,,,1
sedanghokipilihan.lol,,,1
kpkgg18.com,,,1
link1.rtpking555.ink,,,1
gacormen-ar.com,,,1
u0.morfintotopride.online,,,1
jam889.net,,,1
ms003.braga89.store,,,1
hijauwinart.store,,,1
websni.info,,,1
ufc4d.cc,,,1
mantap99.ms-pacmantoto.space,,,1
sj88open.sbs,,,1
okejp8.rtp2025jp.com,,,1
eskino4d.net,,,1
mom4dbisa.com,,,1
tousi-life.jp,,,1
akseswakai.site,,,1
game006.ketua911c.store,,,1
mlb789hoki.site,,,1
wa.agenkopi.cyou,,,1
ola62az.store,,,1
amelpenting.com,,,1
lega4d18.shop,,,1
idrbet77.com,,,1
bape777nice.com,,,1
rtpomega-gan89.com,,,1
11uni4d.com,,,1
loginsoju.store,,,1
www.sloto89semesta.com,,,1
ratugacor88-top.xyz,,,1
dingdong34225.com,,,1
orisdaftar.com,,,1
goto-77.cyou,,,1
sakuratotoart.xyz,,,1
pintumasuklinklgp.com,,,1
arcerqwinwk.site,,,1
pecah404int.com,,,1
h2hslotq.com,,,1
waw4.dahsyat.online,,,1
138grdrtp.beauty,,,1
bt10rb04.space,,,1
nemesisaj8b21.sekali.bet,,,1
3vb9hh9g1l.kaskuskita.com,,,1
boyah.cempakabet.space,,,1
play-deluna188.com,,,1
wwtoto02.com,,,1
rajatoto3selalu.com,,,1
galaxy898onepiece.com,,,1
tzqt8d2jbu.asgacor.pro,,,1
www.boggypond.com,,,1
ayah4di.theamplink.com,,,1
merahbiru.pro,,,1
rtp-ns88.autos,,,1
petir108b.fit,,,1
antohokikali.com,,,1
kilau4dmania.com,,,1
grafikjitubaru789.site,,,1
logicdiana4d.site,,,1
zilong88u-amp1.xyz,,,1
1cabang777.com,,,1
putrajpcv.linktotheamp.com,,,1
nmax4dgas888.com,,,1
turbobet77-hd.com,,,1
ms2.peniti4ddomain.com,,,1
x432s42ynqg6bqlkn9bh.ratuselot.site,,,1
www.rp888dj.com,,,1
riangimlek.mom,,,1
www.jra.go.jp,,,1
jebol78log14.xyz,,,1
opdw.bantenhero.cloud,,,1
303pediamn.live,,,1
pahala4d-official.org,,,1
afsbe.org,,,1
2qzy.jokoo4d.net,,,1
rtpjablay123jp.click,,,1
pilihtogeltoto.com,,,1
v1.narawin.live,,,1
zodiakslotjp.shop,,,1
bandargamingno1.com,,,1
1e27855ntbfedogj0sic.jpmania-resmi.com,,,1
joko4dcuans.vip,,,1
laporgajah.com,,,1
178.128.86.89,,,1
rtp4.jpslot161.top,,,1
fpgbsdyaflgay1qqddld.gayatoto268.site,,,1
nova0fk329.nafastogel.app,,,1
duniabet303joss.vip,,,1
maxhoki.website,,,1
vegas338rtp-7.site,,,1
becekwinalt.blog,,,1
pola1.rtpkerbau28.com,,,1
link-gasbet88.com,,,1
mandiuanglogin.org,,,1
skrikkoke25.online,,,1
pyo9diszrj.dota88e.life,,,1
amp-panoco-is-back.pages.dev,,,1
dd6cxb8m1h.bmwvip3.pro,,,1
subs.supermp0.com,,,1
freeseite.com,,,1
krgxr32040.ihokibetplay.xyz,,,1
vip14.honda555.link,,,1
uwu4dg.com,,,1
unik-1.club,,,1
buzzymag.com,,,1
medaliatas.com,,,1
babyslotbet.com,,,1
puma99gelo.com,,,1
go-pink-4d-new.store,,,1
kipas899ok.pics,,,1
pede4dme.online,,,1
yl002.yolanda77a.store,,,1
manta69-pro.online,,,1
ultimate12.bocorankatsu5.online,,,1
dvbos8.info,,,1
putri.kedai168thailand.com,,,1
nx303ada.art,,,1
indosultan69resmi.com,,,1
0.livebasketrtp.com,,,1
www.takarakuji-official.jp,,,1
dollar4dangkattelor1.online,,,1
hecate0jx4r.nafastogel.one,,,1
kartubet88pro.homes,,,1
jp52dpmw40v1iq51nujc.pucukiran.com,,,1
diorbagus.com,,,1
temposlots.homes,,,1
store.fannyavila.com,,,1
1329qq.bet,,,1
mekagoal.shop,,,1
kw88antireport.store,,,1
totokitazap.site,,,1
sobatkerabatslot.us,,,1
menulerimiz-900.pages.dev,,,1
q0w0764c4v.uang77dcmbr.org,,,1
kingkong39ingat.online,,,1
web010.sepuh78.live,,,1
www.zs999.bet,,,1
jinhoki.xyz,,,1
vde9gvw34y.botuna55c.click,,,1
4qaausx10f6hbgc5f7uj.bungaslot.dev,,,1
rtp02.regalbetvip.store,,,1
sagatoto-cruise.xyz,,,1
nxpecahhhh.xyz,,,1
tarboljuara137.xyz,,,1
bjk3natxg6.cendana898.com,,,1
abgib39364.yesnaga.vip,,,1
sa365url.com,,,1
www.jaihowin17.com,,,1
00y888.com,,,1
arwanaslotjaya1.lat,,,1
satudepo88.ink,,,1
www.linkslotserver.com,,,1
nila88sakti.com,,,1
adamtoto-98.com,,,1
official-terongbet.com,,,1
eggx059fbi.dewaidr.life,,,1
ajjf7xtzsh.top1toto199.com,,,1
