url,prediksi_sistem,skor_final,y_pred(biner),y_true(biner),sel
9audy88.com,HIGH,100.0,1,1,TP
barongbetplays.com,HIGH,51.92,1,1,TP
dewan4dinc.com,HIGH,100.0,1,1,TP
n94ywwycn7.rtp-lohanslot.com,HIGH,100.0,1,1,TP
ownitgucci.com,HIGH,100.0,1,1,TP
kudahoki-q9us.kudahoki.online,HIGH,100.0,1,1,TP
pejuangslotcrm.com,HIGH,100.0,1,1,TP
premier333aek.com,HIGH,100.0,1,1,TP
promokikototo.org,MEDIUM,50.0,1,1,TP
0m1wjbwjlh.slotmantapviral.com,HIGH,100.0,1,1,TP
nemospin78.store,HIGH,100.0,1,1,TP
inova138bjb.com,HIGH,97.5,1,1,TP
www.gamespoolspic.vip,LOW,7.5,0,1,FN
pik4mantapp.com,HIGH,100.0,1,1,TP
huntertotoalter.online,LOW,7.5,0,1,FN
grafikjituhugme.site,LOW,12.5,0,1,FN
super88site.space,HIGH,100.0,1,1,TP
bktt-fav.site,LOW,0.0,0,1,FN
gemoy88gas.monster,HIGH,100.0,1,1,TP
akseswin805.click,HIGH,100.0,1,1,TP
1rolet303.art,HIGH,93.01,1,1,TP
barbari.seni108maxwin.com,HIGH,100.0,1,1,TP
www.rusticfarmlife.com,HIGH,100.0,1,1,TP
82lwit76wp80ao7bzzoi.vdkgatheringpoint.social,HIGH,80.33,1,1,TP
q9db0zfseko306oz237x.araitoto-x.com,HIGH,50.0,1,1,TP
salam88kung.site,HIGH,100.0,1,1,TP
negrislot.store,MEDIUM,50.0,1,1,TP
3vfa5w8mr8.dota88e.life,HIGH,100.0,1,1,TP
panadolqqjp99.xyz,MEDIUM,40.0,1,1,TP
info.rtpoishibet.com,HIGH,100.0,1,1,TP
cafe4dv2.space,HIGH,100.0,1,1,TP
bulantogel3.rest,HIGH,65.0,1,1,TP
maxwinrtp.officejutawan.com,HIGH,100.0,1,1,TP
tokzmp7m4x.top1toto199.com,LOW,12.5,0,1,FN
agenbos228.beauty,HIGH,89.56,1,1,TP
kangmasrindu.site,HIGH,100.0,1,1,TP
grandpulsa7.com,HIGH,95.0,1,1,TP
togelnusatotomaxwin.site,HIGH,100.0,1,1,TP
pq9o61ii477woxkizbjr.jpmariofixx.site,HIGH,100.0,1,1,TP
bdhoki88limit.live,HIGH,100.0,1,1,TP
kdkey2r6ed.vwvip2.pro,HIGH,100.0,1,1,TP
umr-dewa.online,HIGH,90.76,1,1,TP
prabartanablog.pages.dev,HIGH,54.16,1,1,TP
www.kemonbet22.com,MEDIUM,50.0,1,1,TP
bbtn4dwinplay.com,HIGH,100.0,1,1,TP
ratupadepokan.xyz,MEDIUM,50.0,1,1,TP
www.staradio1073fm.com,LOW,7.5,0,1,FN
30msislot.info,HIGH,100.0,1,1,TP
slot88blue.com,MEDIUM,45.03,1,1,TP
www.rockfest-game.com,HIGH,100.0,1,1,TP
lotus2mas.vip,HIGH,100.0,1,1,TP
5feb.2simenang.com,LOW,7.5,0,1,FN
tuantogelultra.com,HIGH,100.0,1,1,TP
ppsnusanew.com,HIGH,100.0,1,1,TP
becekwinhits.com,HIGH,78.58,1,1,TP
rtppepsimaniez.com,HIGH,100.0,1,1,TP
duniabet303ai.life,HIGH,100.0,1,1,TP
jpnation17.xyz,MEDIUM,40.0,1,1,TP
geosriwijaya.com,LOW,0.0,0,1,FN
mpo8821bekasi.info,HIGH,100.0,1,1,TP
appsatrialigartp.com,HIGH,81.5,1,1,TP
tattumedia.com,MEDIUM,30.0,1,1,TP
giant.genevafoxes.org,HIGH,100.0,1,1,TP
wap.appunikbet.com,HIGH,100.0,1,1,TP
gojek77.ws,HIGH,97.5,1,1,TP
rtp13.polaavatar808.live,MEDIUM,35.0,1,1,TP
k6zznn1xd8mbnhd96reg.araitoto-x.com,HIGH,50.0,1,1,TP
tytfortunerid.com,MEDIUM,28.73,1,1,TP
yyqf7qvklk.senju33h.top,HIGH,100.0,1,1,TP
hwg500.net,HIGH,100.0,1,1,TP
a.justd.net,HIGH,100.0,1,1,TP
amppapilo99.net,HIGH,82.5,1,1,TP
www.audi8.bet,LOW,5.0,0,1,FN
32c7j15fcqwynfj23mut.jpmariofixx.site,HIGH,100.0,1,1,TP
sibukwinbaik.com,HIGH,82.5,1,1,TP
emastotojitu.com,HIGH,67.96,1,1,TP
novasobatvip.mom,HIGH,100.0,1,1,TP
indratogel32461.com,MEDIUM,50.0,1,1,TP
llgt36dscwnnsoiswda6.myjpcash.com,HIGH,61.87,1,1,TP
geng34037.com,MEDIUM,37.75,1,1,TP
rtpbiru138cuan.blog,HIGH,100.0,1,1,TP
burhanbos89.xyz,HIGH,100.0,1,1,TP
super88original.org,HIGH,100.0,1,1,TP
biru777citra.club,HIGH,100.0,1,1,TP
xn-foroporlaniez.pages.dev,MEDIUM,50.0,1,1,TP
g1.gurame.fun,LOW,0.0,0,1,FN
kangtotowis.com,LOW,2.5,0,1,FN
pasti12.niastoto4d.xyz,LOW,0.0,0,1,FN
jamuwin78.yachts,HIGH,54.11,1,1,TP
bolawinsbsd.com,HIGH,75.38,1,1,TP
kurniatotomantap.com,HIGH,58.21,1,1,TP
komengtotobet.com,HIGH,100.0,1,1,TP
www.alexabet88u.net,LOW,10.0,0,1,FN
hargabiru.com,HIGH,66.04,1,1,TP
jamintotowin13.com,LOW,9.44,0,1,FN
ketuabemo05.site,HIGH,100.0,1,1,TP
situsgestunbet2026.pages.dev,MEDIUM,27.5,1,1,TP
lions88newregister.store,HIGH,100.0,1,1,TP
kudahoki11.site,HIGH,100.0,1,1,TP
lmccsn88.blog,HIGH,100.0,1,1,TP
17des.rusia777.sbs,HIGH,100.0,1,1,TP
m.tst4d.com,LOW,0.0,0,1,FN
voliaku.biz,HIGH,87.5,1,1,TP
morph365.asia,HIGH,100.0,1,1,TP
xiutoto401.com,MEDIUM,47.45,1,1,TP
www.sba.co.ug,LOW,22.5,0,1,FN
netjawawin.com,HIGH,100.0,1,1,TP
unagitop2.com,LOW,0.0,0,1,FN
rtpptjpkali.pages.dev,HIGH,100.0,1,1,TP
lvonlinejakarta.lol,MEDIUM,50.0,1,1,TP
