URL,Status,Error,V,T,F,Timestamp,Duration (s)
newgrounds.com,ERROR,Page.goto: net::ERR_SSL_VERSION_OR_CIPHER_MISMATCH at https:,0,0,0,2026-06-08T09:37:20.002343,2.2
pogo.com,ERROR,Page.goto: net::ERR_SSL_VERSION_OR_CIPHER_MISMATCH at https:,0,0,0,2026-06-08T09:37:22.605956,1.94
armorgames.com,ERROR,Page.screenshot: Timeout 20000ms exceeded.,0,0,0,2026-06-08T09:36:49.205816,47.12
plays.org,ERROR,Page.goto: net::ERR_SSL_VERSION_OR_CIPHER_MISMATCH at https:,0,0,0,2026-06-08T09:37:57.424839,0.25
juegos.com,ERROR,Page.goto: net::ERR_TOO_MANY_REDIRECTS at https://juegos.com,0,0,0,2026-06-08T09:37:47.007986,12.38
primarygames.com,ERROR,"Page.evaluate: Execution context was destroyed, most likely ",0,0,0,2026-06-08T09:38:00.458130,22.42
mathplayground.com,ERROR,"Page.evaluate: Execution context was destroyed, most likely ",0,0,0,2026-06-08T09:38:09.094410,15.65
slotomania.com,ERROR,Page.goto: net::ERR_SSL_VERSION_OR_CIPHER_MISMATCH at https:,0,0,0,2026-06-08T09:38:59.335170,3.5
doubledowncasino.com,ERROR,Page.goto: net::ERR_SSL_VERSION_OR_CIPHER_MISMATCH at https:,0,0,0,2026-06-08T09:39:01.671399,2.35
huugegames.com,ERROR,Page.goto: net::ERR_CONNECTION_RESET at https://huugegames.c,0,0,0,2026-06-08T09:39:04.750568,1.95
gametwist.com,ERROR,Page.goto: net::ERR_SSL_VERSION_OR_CIPHER_MISMATCH at https:,0,0,0,2026-06-08T09:39:10.165977,0.37
houseoffun.com,ERROR,Page.goto: net::ERR_SSL_VERSION_OR_CIPHER_MISMATCH at https:,0,0,0,2026-06-08T09:39:12.064700,0.93
playstudios.com,ERROR,Page.goto: net::ERR_SSL_VERSION_OR_CIPHER_MISMATCH at https:,0,0,0,2026-06-08T09:39:16.158263,0.28
productmadness.com,ERROR,Page.goto: net::ERR_TOO_MANY_REDIRECTS at https://productmad,0,0,0,2026-06-08T09:39:24.917362,5.81
doubleugames.com,ERROR,Page.evaluate: TypeError: Cannot read properties of null (re,0,0,0,2026-06-08T09:39:15.307031,18.14
bingoblitz.com,ERROR,Page.goto: net::ERR_SSL_VERSION_OR_CIPHER_MISMATCH at https:,0,0,0,2026-06-08T09:39:34.476748,0.22
mahjongtime.com,ERROR,Page.goto: net::ERR_SSL_VERSION_OR_CIPHER_MISMATCH at https:,0,0,0,2026-06-08T09:39:52.050583,0.22
247mahjong.com,ERROR,Page.goto: net::ERR_SSL_VERSION_OR_CIPHER_MISMATCH at https:,0,0,0,2026-06-08T09:39:53.326598,0.22
arkadium.com,ERROR,Page.goto: net::ERR_SSL_VERSION_OR_CIPHER_MISMATCH at https:,0,0,0,2026-06-08T09:39:59.128260,0.22
247solitaire.com,ERROR,Page.goto: net::ERR_SSL_VERSION_OR_CIPHER_MISMATCH at https:,0,0,0,2026-06-08T09:40:20.132884,1.81
jackpotpartycasino.com,ERROR,Timeout & Unreachable,0,0,0,2026-06-08T09:39:10.180217,75.84
