URL,Visual Tags,Keywords,Visual Score,Text Score,Final Score,Timestamp,Duration (s)
miniclip.com,pool:0.38; koin:0.36,,11.03,0,5.52,2026-06-08T09:36:34.706891,12.08
poki.com,,pola:1,0,25,12.5,2026-06-08T09:36:34.694346,13.7
crazygames.com,,rtp:1,0,30,15.0,2026-06-08T09:36:34.703790,15.11
agame.com,,rtp:1; live:1,0,45,22.5,2026-06-08T09:36:34.711832,16.35
kongregate.com,mahjong:0.36,pola:1; bet:1,33.97,0,16.98,2026-06-08T09:36:34.713405,24.16
y8.com,,live:3; bet:1,0,0,0.0,2026-06-08T09:36:34.709647,26.76
friv.com,,,0,0,0.0,2026-06-08T09:36:52.426705,20.27
coolmathgames.com,,,0,0,0.0,2026-06-08T09:36:51.681976,25.76
gamesgames.com,mahjong_card:0.27,live:2,17.28,15,16.14,2026-06-08T09:37:04.320435,14.75
kizi.com,pool:0.25,live:2,4.21,15,9.61,2026-06-08T09:37:02.474858,17.98
addictinggames.com,,,0,0,0.0,2026-06-08T09:36:50.568349,31.19
silvergames.com,,,0,0,0.0,2026-06-08T09:37:13.914190,13.02
itch.io,,live:1,0,15,7.5,2026-06-08T09:37:21.267923,14.3
bgames.com,,live:1,0,15,7.5,2026-06-08T09:37:24.364076,21.87
twoplayergames.org,,bet:1,0,0,0.0,2026-06-08T09:37:29.127022,18.31
gamepix.com,,,0,0,0.0,2026-06-08T09:37:25.694712,22.84
1001games.com,mahjong_card:0.31,,19.94,0,9.97,2026-06-08T09:37:38.726109,14.8
spele.nl,mahjong:0.36,bet:10,33.72,10,21.86,2026-06-08T09:37:38.731299,16.5
spielaffe.de,,,0,0,0.0,2026-06-08T09:37:48.202648,17.15
gameflare.com,,bet:1,0,10,5.0,2026-06-08T09:37:58.843531,19.06
abcya.com,koin:0.44,bet:1,5.74,0,2.87,2026-06-08T09:38:06.259134,22.53
funbrain.com,,,0,0,0.0,2026-06-08T09:38:07.532276,23.5
html5games.com,,,0,0,0.0,2026-06-08T09:38:21.627531,17.07
hoodamath.com,,,0,0,0.0,2026-06-08T09:38:19.964697,20.45
onlinegames.io,,live:2; bet:1,0,0,0.0,2026-06-08T09:38:24.552652,18.18
gogy.com,,rtp:1,0,30,15.0,2026-06-08T09:38:26.493417,20.43
gamemonetize.com,,live:1; bet:1,0,25,12.5,2026-06-08T09:38:32.984709,20.13
kbhgames.com,,live:1,0,0,0.0,2026-06-08T09:38:32.011445,22.61
girlsgogames.com,,live:6,0,15,7.5,2026-06-08T09:38:42.468828,15.03
mousebreaker.com,mahjong_card:0.27,,16.91,0,8.46,2026-06-08T09:38:43.994662,14.65
notdoppler.com,,,0,0,0.0,2026-06-08T09:38:48.234084,12.45
yiv.com,pool:0.31,rtp:1,5.09,0,2.55,2026-06-08T09:38:41.323754,20.79
crazygames.id,,,0,0,0.0,2026-06-08T09:38:56.095985,11.63
miniplay.com,,live:1,0,0,0.0,2026-06-08T09:38:55.192912,19.34
bigfishgames.com,pragmatic:0.34,,43.98,0,21.99,2026-06-08T09:39:03.393824,20.29
zynga.com,,live:2; slot:10; casino:4,0,40,20.0,2026-06-08T09:39:05.575460,20.67
playtika.com,,live:1; slot:16; casino:2,0,40,20.0,2026-06-08T09:39:04.764141,22.78
slotpark.com,,slot:2,0,10,5.0,2026-06-08T09:39:28.777901,9.8
sciplay.com,,live:2; slot:3; judi:2; casino:2; bet:24,0,0,0.0,2026-06-08T09:39:28.021058,12.88
wooga.com,,,0,0,0.0,2026-06-08T09:39:40.488119,10.51
murka.com,,scatter:8; live:3; slot:9; casino:3,0,0,0.0,2026-06-08T09:39:31.947800,22.66
gameloft.com,,bet:2,0,10,5.0,2026-06-08T09:39:42.610654,14.18
solitaired.com,,bet:1,0,10,5.0,2026-06-08T09:40:00.592064,15.13
mahjong.com,koin:0.34; mahjong_card:0.26,bet:1,21.17,10,15.58,2026-06-08T09:39:55.139270,22.37
mahjonggames.com,koin:0.36; koin:0.35,bet:1,9.33,10,9.66,2026-06-08T09:39:55.989323,23.24
worldofsolitaire.com,,rtp:93; bet:90,0,40,20.0,2026-06-08T09:40:18.361502,13.65
trickstercards.com,,,0,0,0.0,2026-06-08T09:40:22.645869,12.93
cardgames.io,,bet:2,0,10,5.0,2026-06-08T09:40:21.627101,15.36
gamehouse.com,,,0,0,0.0,2026-06-08T09:40:27.184059,14.37
247cardgames.com,,live:1,0,0,0.0,2026-06-08T09:40:34.533938,17.0
chess.com,,live:1,0,15,7.5,2026-06-08T09:40:42.926356,10.28
boardgamearena.com,,rtp:1,0,0,0.0,2026-06-08T09:40:41.376329,17.65
mahjongg.com,mahjong_card:0.27,bet:1,17.1,10,13.55,2026-06-08T09:40:36.789622,23.94
lichess.org,,,0,0,0.0,2026-06-08T09:40:49.129295,13.16
klondikesolitaire.com,,rtp:51; bet:94,0,40,20.0,2026-06-08T09:40:56.399561,11.42
sudoku.com,,bet:2,0,0,0.0,2026-06-08T09:40:53.968819,21.07
king.com,koin:0.52,,6.8,0,3.4,2026-06-08T09:41:03.507910,18.17
supercell.com,,live:1; bet:1,0,25,12.5,2026-06-08T09:41:02.771612,20.37
rovio.com,,live:1,0,15,7.5,2026-06-08T09:41:04.707704,24.89
ubisoft.com,,live:1,0,15,7.5,2026-06-08T09:41:14.737664,18.06
ea.com,,,0,0,0.0,2026-06-08T09:41:10.662002,23.72
minecraft.net,,live:30; bet:1,0,0,0.0,2026-06-08T09:41:17.190239,18.51
garena.com,,rtp:2,0,0,0.0,2026-06-08T09:41:23.883724,19.43
nintendo.com,,,0,0,0.0,2026-06-08T09:41:35.175872,11.96
xbox.com,,,0,0,0.0,2026-06-08T09:41:37.040632,19.41
innersloth.com,,slot:28,0,10,5.0,2026-06-08T09:41:49.354761,11.72
epicgames.com,,,0,0,0.0,2026-06-08T09:41:44.897407,22.97
nianticlabs.com,,,0,0,0.0,2026-06-08T09:41:58.456969,12.81
mihoyo.com,,live:1; judi:1,0,30,15.0,2026-06-08T09:41:58.453473,19.28
pokemongolive.com,,,0,0,0.0,2026-06-08T09:42:01.583147,18.0
neteasegames.com,,bet:2,0,10,5.0,2026-06-08T09:42:02.401441,25.14
jamcity.com,,,0,0,0.0,2026-06-08T09:42:14.246294,22.92
voodoo.io,,,0,0,0.0,2026-06-08T09:42:09.360115,33.02
glu.com,,,0,0,0.0,2026-06-08T09:42:20.262937,24.46
nexon.com,,live:3,0,15,7.5,2026-06-08T09:42:29.416230,17.82
krafton.com,,bet:2,0,10,5.0,2026-06-08T09:42:33.611227,17.08
kabam.com,,live:2,0,15,7.5,2026-06-08T09:42:21.341050,34.48
store.steampowered.com,,live:3,0,0,0.0,2026-06-08T09:42:45.739966,19.54
gog.com,,live:1,0,15,7.5,2026-06-08T09:42:46.719701,24.21
greenmangaming.com,,,0,0,0.0,2026-06-08T09:42:54.467647,20.44
fanatical.com,,,0,0,0.0,2026-06-08T09:42:59.790050,17.87
clashofclans.com,,,0,0,0.0,2026-06-08T09:43:01.712461,17.38
clashroyale.com,,,0,0,0.0,2026-06-08T09:43:07.232166,13.24
brawlstars.com,,,0,0,0.0,2026-06-08T09:43:11.567504,12.16
candycrushsaga.com,koin:0.27,,3.53,0,1.76,2026-06-08T09:43:12.296839,12.99
sybogames.com,,rtp:1,0,30,15.0,2026-06-08T09:43:16.064954,13.98
halfbrick.com,,,0,0,0.0,2026-06-08T09:43:20.436078,16.32
playvalorant.com,,live:6,0,15,7.5,2026-06-08T09:43:22.561204,16.39
dota2.com,,,0,0,0.0,2026-06-08T09:43:26.799830,14.2
fortnite.com,,,0,0,0.0,2026-06-08T09:43:22.556633,27.44
leagueoflegends.com,,live:4,0,0,0.0,2026-06-08T09:43:25.931493,25.51
counter-strike.net,,bet:1,0,10,5.0,2026-06-08T09:43:31.915654,21.3
rockstargames.com,,,0,0,0.0,2026-06-08T09:43:42.402704,14.61
apexlegends.com,,pola:1; olympus:1,0,50,25.0,2026-06-08T09:43:38.845139,22.34
konami.com,,,0,0,0.0,2026-06-08T09:43:52.499547,10.55
callofduty.com,,,0,0,0.0,2026-06-08T09:43:41.559741,22.78
square-enix-games.com,,live:1; bet:4,0,0,0.0,2026-06-08T09:43:53.917716,15.48
sega.com,,live:2,0,15,7.5,2026-06-08T09:43:54.998601,18.18
capcom.com,mahjong:0.26,,23.93,0,11.97,2026-06-08T09:43:58.338225,18.63
atlus.com,,,0,0,0.0,2026-06-08T09:44:04.924225,14.53
devolverdigital.com,,bet:1,0,10,5.0,2026-06-08T09:44:05.637245,16.97
bandainamcoent.com,,live:1; bet:1,0,25,12.5,2026-06-08T09:44:03.879151,22.99
pathofexile.com,,live:1,0,15,7.5,2026-06-08T09:44:14.387879,22.48
warframe.com,,,0,0,0.0,2026-06-08T09:44:10.801399,29.79
supergiantgames.com,,rtp:1,0,30,15.0,2026-06-08T09:44:24.210177,18.19
smitegame.com,,zeus:1; bet:5,0,50,25.0,2026-06-08T09:44:21.472590,24.45
ageofempires.com,,live:3; bet:1,0,25,12.5,2026-06-08T09:44:28.327607,27.46
duniagames.co.id,,live:1,0,15,7.5,2026-06-08T09:44:47.536143,19.78
theoi.com,,,0,0,0.0,2026-06-08T09:44:41.446654,27.7
ggwp.id,,live:1,0,15,7.5,2026-06-08T09:44:59.511648,16.01
gamebrott.com,,rtp:2; live:10,0,0,0.0,2026-06-08T09:44:54.770143,22.59
esportsku.com,,live:5; bet:1,0,0,0.0,2026-06-08T09:45:02.646863,20.53
hybrid.co.id,,rtp:2; bet:2,0,40,20.0,2026-06-08T09:45:10.119055,20.7
itemku.com,,live:3; bet:1,0,25,12.5,2026-06-08T09:45:18.395549,18.33
dafunda.com,,,0,0,0.0,2026-06-08T09:45:20.253490,18.21
vcgamers.com,,live:2,0,0,0.0,2026-06-08T09:45:16.704753,24.18
kotakgame.com,,live:3,0,0,0.0,2026-06-08T09:45:22.701529,23.78
esportsnesia.com,,rtp:1; pola:1; zeus:1; live:1,0,30,15.0,2026-06-08T09:45:39.592709,15.0
gamedaim.com,,,0,0,0.0,2026-06-08T09:45:33.489700,23.52
kincir.com,,rtp:2; live:1,0,0,0.0,2026-06-08T09:45:41.695053,17.83
indogamers.com,,bet:1,0,10,5.0,2026-06-08T09:45:42.790505,22.42
gamefinity.id,,slot:1; bet:1,0,0,0.0,2026-06-08T09:45:50.108736,17.1
gamespot.com,,live:1; bet:1,0,25,12.5,2026-06-08T09:46:01.150324,24.78
polygon.com,,live:1; slot:1; bet:1,0,35,17.5,2026-06-08T09:46:07.904468,20.06
pcgamer.com,,live:5; bet:2,0,25,12.5,2026-06-08T09:46:16.705143,18.56
kotaku.com,,,0,0,0.0,2026-06-08T09:46:08.873803,31.69
rockpapershotgun.com,,scatter:2; live:10; withdraw:1,0,50,25.0,2026-06-08T09:46:28.997141,25.99
gamesradar.com,,live:4; slot:1,0,25,12.5,2026-06-08T09:46:29.896469,30.73
destructoid.com,,live:1,0,15,7.5,2026-06-08T09:46:37.112338,25.73
vg247.com,,live:10; bet:1; withdraw:1,0,30,15.0,2026-06-08T09:46:43.138469,32.82
dualshockers.com,,live:2,0,15,7.5,2026-06-08T09:46:57.077657,21.29
gamerant.com,,live:2; bet:3,0,25,12.5,2026-06-08T09:47:03.587025,18.95
gematsu.com,,,0,0,0.0,2026-06-08T09:46:55.892304,36.33
thegamer.com,,live:9; bet:1,0,25,12.5,2026-06-08T09:47:04.651071,31.07
3djuegos.com,,,0,0,0.0,2026-06-08T09:47:25.144336,36.56
apps.apple.com,,live:2,0,15,7.5,2026-06-08T09:47:42.160915,22.21
gameinformer.com,,live:3; bet:3,0,25,12.5,2026-06-08T09:47:36.835849,30.28
play.google.com,,rtp:2; live:1,0,0,0.0,2026-06-08T09:47:38.386516,30.67
metacritic.com,,,0,0,0.0,2026-06-08T09:47:37.191220,33.89
apkpure.com,,,0,0,0.0,2026-06-08T09:47:47.358745,31.44
malavida.com,pool:0.32,bet:2,5.41,10,7.7,2026-06-08T09:48:13.175340,8.71
apkcombo.com,,rtp:1; live:4; bet:1,0,0,0.0,2026-06-08T09:48:11.814302,13.73
softonic.com,,live:7; bet:5,0,0,0.0,2026-06-08T09:48:10.106370,19.06
f-droid.org,,,0,0,0.0,2026-06-08T09:48:23.942078,11.12
aptoide.com,,rtp:1; bet:1,0,40,20.0,2026-06-08T09:48:20.185213,22.4
apkmirror.com,,,0,0,0.0,2026-06-08T09:48:05.445402,39.12
steelseries.com,,live:4; bet:3,0,25,12.5,2026-06-08T09:48:30.376604,16.31
razer.com,,,0,0,0.0,2026-06-08T09:48:25.007279,23.52
logitechg.com,,,0,0,0.0,2026-06-08T09:48:27.172810,23.99
hyperx.com,,pola:2; bet:1,0,35,17.5,2026-06-08T09:48:36.721686,22.69
kompas.com,,,0,0,0.0,2026-06-08T09:48:46.295183,26.95
corsair.com,,,0,0,0.0,2026-06-08T09:48:45.310816,41.57
cnnindonesia.com,,live:3,0,0,0.0,2026-06-08T09:48:50.387024,40.15
detik.com,vulgar:0.26,live:6,3.78,0,1.89,2026-06-08T09:48:49.413084,44.6
tribunnews.com,,live:1,0,0,0.0,2026-06-08T09:48:53.970406,43.9
liputan6.com,,live:2,0,0,0.0,2026-06-08T09:49:02.870881,43.03
kumparan.com,,,0,0,0.0,2026-06-08T09:49:17.390908,31.94
merdeka.com,mahjong:0.26,live:1,23.96,0,11.98,2026-06-08T09:49:41.575310,16.32
tempo.co,,slot:4,0,0,0.0,2026-06-08T09:49:32.098942,33.87
antaranews.com,,rtp:2; pola:2; live:14; judi:3,0,0,0.0,2026-06-08T09:49:33.661006,34.9
suara.com,pragmatic:0.36,bet:2,47.6,0,23.8,2026-06-08T09:49:36.715932,34.33
okezone.com,casino:0.25,live:7; slot:2,22.16,0,11.08,2026-06-08T09:49:50.241751,30.63
sindonews.com,,live:2,0,0,0.0,2026-06-08T09:49:51.811429,31.03
viva.co.id,,,0,0,0.0,2026-06-08T09:50:13.256515,23.2
kompas.tv,,live:1,0,0,0.0,2026-06-08T09:50:14.250519,34.35
republika.co.id,,bet:3,0,0,0.0,2026-06-08T09:50:00.687824,51.33
tirto.id,,rtp:2; live:3; judi:2,0,0,0.0,2026-06-08T09:50:26.939300,33.95
idntimes.com,,live:2; bet:1,0,25,12.5,2026-06-08T09:50:26.934789,36.03
kontan.co.id,,live:2; deposit:1,0,0,0.0,2026-06-08T09:50:40.736170,31.96
bisnis.com,,live:4; deposit:1,0,0,0.0,2026-06-08T09:50:43.839312,31.18
indonesia.go.id,,pola:1; bet:1,0,0,0.0,2026-06-08T09:51:05.753042,15.36
komdigi.go.id,,judi:6,0,0,0.0,2026-06-08T09:50:53.059564,29.72
polri.go.id,,,0,0,0.0,2026-06-08T09:51:09.392087,16.88
kemenkeu.go.id,,,0,0,0.0,2026-06-08T09:51:02.538557,32.49
bi.go.id,,deposit:1,0,0,0.0,2026-06-08T09:51:14.613907,22.67
ojk.go.id,,,0,0,0.0,2026-06-08T09:51:17.582197,25.98
ruangguru.com,,live:8,0,0,0.0,2026-06-08T09:51:24.527737,21.03
zenius.net,,,0,0,0.0,2026-06-08T09:51:27.608979,19.8
quipper.com,,,0,0,0.0,2026-06-08T09:51:32.516454,21.75
prodigygame.com,,,0,0,0.0,2026-06-08T09:51:46.676884,26.21
khanacademy.org,,live:2,0,0,0.0,2026-06-08T09:51:48.399364,27.8
stockbit.com,,deposit:1,0,0,0.0,2026-06-08T09:51:57.008638,21.43
bibit.id,,bet:2; deposit:1,0,0,0.0,2026-06-08T09:51:56.904002,25.86
pluang.com,,deposit:2,0,0,0.0,2026-06-08T09:51:59.979734,26.13
bareksa.com,,deposit:1,0,0,0.0,2026-06-08T09:52:02.831043,27.04
indodax.com,,deposit:1,0,0,0.0,2026-06-08T09:52:14.583415,23.79
tokocrypto.com,pool:0.58,deposit:1; withdraw:1,9.62,0,4.81,2026-06-08T09:52:18.190199,28.75
pintu.co.id,,,0,0,0.0,2026-06-08T09:52:21.093964,28.72
reku.id,,withdraw:1,0,0,0.0,2026-06-08T09:52:27.025042,24.7
dana.id,,,0,0,0.0,2026-06-08T09:52:28.365887,25.62
flip.id,,,0,0,0.0,2026-06-08T09:52:32.287136,24.52
jenius.com,,bet:1; deposit:1,0,15,7.5,2026-06-08T09:52:41.117209,23.59
linkaja.id,,,0,0,0.0,2026-06-08T09:52:52.321154,17.88
gopay.co.id,,,0,0,0.0,2026-06-08T09:52:49.602143,22.5
ovo.id,,rtp:1,0,30,15.0,2026-06-08T09:52:53.346248,20.11
shopee.co.id,,,0,0,0.0,2026-06-08T09:52:59.442633,19.33
tokopedia.com,,zeus:1,0,40,20.0,2026-06-08T09:52:55.729965,25.87
bukalapak.com,vulgar:0.31,bet:2,4.42,0,2.21,2026-06-08T09:53:06.981931,17.59
blibli.com,,,0,0,0.0,2026-06-08T09:53:12.957946,19.48
zalora.co.id,,live:1,0,15,7.5,2026-06-08T09:53:14.910850,24.79
traveloka.com,,,0,0,0.0,2026-06-08T09:53:23.951885,19.29
halodoc.com,,bet:4,0,0,0.0,2026-06-08T09:53:35.120461,16.91
