URL,Visual Tags,Keywords,Visual Score,Text Score,Final Score,Timestamp,Duration (s)
lagged.com,zeus:0.45,,62.68,0,31.34,2026-06-08T09:37:24.370255,20.41
jetztspielen.de,casino:0.51,rtp:1,44.92,30,37.46,2026-06-08T09:37:49.061433,14.74
jeux.fr,casino:0.28,rtp:1,24.46,30,27.23,2026-06-08T09:37:49.809069,17.0
jogos360.com.br,mahjong:0.51; pool:0.37,live:4,53.56,15,34.28,2026-06-08T09:37:56.180003,23.23
playstation.com,,rtp:62; live:14; slot:16; bet:18,0,65,32.5,2026-06-08T09:41:36.220649,23.35
com2us.com,mahjong:0.53,rtp:1; live:1; withdraw:3,49.66,50,49.83,2026-06-08T09:42:38.904390,20.13
deadbydaylight.com,,rtp:2; live:7; bet:16; withdraw:1,0,60,30.0,2026-06-08T09:44:18.701762,20.36
ageofmythology.com,mahjong:0.48,live:1; bet:4,45.08,25,35.04,2026-06-08T09:44:38.634950,20.1
ign.com,,pola:1; live:33; slot:1; bet:1,0,60,30.0,2026-06-08T09:46:00.297208,22.76
eurogamer.net,,scatter:1; live:5; bet:1; withdraw:1,0,60,30.0,2026-06-08T09:46:24.823153,26.89
uptodown.com,koin:0.56,rtp:7; live:4; bet:3,7.3,55,31.15,2026-06-08T09:48:08.100878,15.24
tiket.com,,rtp:4; live:1; bet:6,0,55,27.5,2026-06-08T09:53:22.663483,27.33
dotabuff.com,,zeus:2; live:1; bet:2,0,65,32.5,2026-06-08T09:55:13.892191,27.64
